https://www.bdovore.com/Album?id_tome=378340,Adam Wilder,,,Aventures Fantastiques,"Gatignol, Bertrand",Dargaud,"Tous les cinq ans, la guilde des demonios de la Cocagne, des lycanthropes, organise un tournoi afin de désigner leur chef : le Wilderman jusqu'alors toujours gagné par le terrible Ysengrin. Adam Wilder, un jeune demonio, compte bien être le nouveau roi ! Mais en fuyant la redoutable Inquisition et son chef Tankred, il trouve refuge dans une étrange cabane au fond des bois, l'antre de la redoutable sorcière Yaya Yaga. Ignorant le danger et ne pouvant résister à ses pulsions animales, il dévore l'énorme banquet qui s'y trouve, pomme d'or sacrée comprise ! Pour réparer sa faute, Yaya Yaga exige de Wilder réparation. Il aura pour mission de récupérer une nouvelle pomme d'or dans le château du terrible Ogre sans visage... source: éditeur"
https://www.bdovore.com/Album?id_tome=314929,Star fixion,5,1,Uchronie,"Bernstein, Jorge",Audie,"Los Angeles, 1976.Dany, producteur de films de Science-fiction, est au bord de la faillite. Il n'a plus le choix : soit il trouve très vite LE projet bankable qui le remettra à flots, soit il est bon pour tourner des films X minables afin de régler ses dettes. C'est alors qu'il rencontre un jeune scénariste, George Lucas, qui lui propose de réaliser son nouveau projet : Star wars... source: éditeur"
https://www.bdovore.com/Album?id_tome=143558,X-Men : Manifest Destiny n°5,,,Comics Super-héros,,Marvel,
https://www.bdovore.com/Album?id_tome=46392,"Yureka - Coffret 3, Tomes 13 à 15",,,Manhwas - Sonyun (Shonen),"Son, Hee Joon",Tokebi,"Le démon se dirige vers la ville assiégée et il a l’air bien décidé à exterminer tous les joueurs de Lost Saga ! Adol, Boromir, Low et les autres organisent la résistance tant bien que mal... Leur seule solution, c’est de trouver le point faible de cet ange exterminateur ! Heureusement que Lotto et Yureka mènent leur enquête de leur côté..."
https://www.bdovore.com/Album?id_tome=265223,"Quès aco, Coco ?",,,Aventure,,Sagédition,
https://www.bdovore.com/Album?id_tome=211074,Legenderry : Red Sonja n°4,,,Comics,"Andreyko, Marc",Dynamite Entertainment,
https://www.bdovore.com/Album?id_tome=136677,Ghosts & miracles,,,Comics,"Moore, Alan",DC comics,
https://www.bdovore.com/Album?id_tome=36262,Le grand pouvoir,,,"Contes, légendes et mythes","Istin, Jean-Luc",Soleil Productions,"La serpolette de tante Belette, A la couleur des gros radis, Et pas celle des pissenlits. La serpolette de tante Belette, Ne sent pas le gros bufflon, Pas non plus le saucisson. La serpolette de tante Belette, A le goût du bon gigout, Qui mijote dans l'marmitou. La serpolette de tante Belette, Finira dans mon bidon, Et me f'ra faire de grands bonds !"
https://www.bdovore.com/Album?id_tome=326110,"Come Back To Me, Part 5 : Reality Bites; Part 6 : Cat Scratch Fever Dreams",,,Comics,"Palmiotti, Jimmy",DC comics,
https://www.bdovore.com/Album?id_tome=108769,L'attaque du Corbeau,,,Comics Super-héros,,Éditions des Remparts,
https://www.bdovore.com/Album?id_tome=7581,Chaînons manquants,3,2,Humour,"Foerster, Philippe",Le Lombard,"Rex Raw, le héros, est le premier détective privé de l'histoire de l'humanité. Il est flanqué d'une pulpeuse secrétaire et se déplace à dos de rhinocéros. En enquêtant sur une disparition, il découvre une étrange secte qui ne recrute que des obèses pour les réunir dans le cratère d'un volcan éteint. Mais quel est donc le but de ces gens ?..."
https://www.bdovore.com/Album?id_tome=100695,Objectif : Bat-Man,,,Comics,,Artima (ARTisan en IMAgerie),
https://www.bdovore.com/Album?id_tome=107402,"Le grêlé 7/13, Tome 9",,,Aventure,"Lécureux, Roger",Éditions du Taupinambour,Cet album reprend 5 aventures du Grêlé 7/13 initialement publiées dans Pif Gadget. * Le messager (Pif Gadget 50) * Quand les taupes... (Pif Gadget 53) * Un coup bien monté (Pif Gadget 56) * Drôle de cirque (Pif Gadget 59) * Pour un brin de muguet (Pif Gadget 62) source: éditeur
https://www.bdovore.com/Album?id_tome=201170,"Tonnerre de bulles, hors-série n°4 - Spécial Franquin",,,Revue,,Les Petits Sapristains,
https://www.bdovore.com/Album?id_tome=368568,Le trésor de la tricomancienne,,,Aventures Fantastiques,"Alwett, Audrey",Bamboo Éditions,"C'est dans les Pyrénées qu'arrive le bus-librairie d'Elfie et ses deux soeurs. Là, vit leur Grand-Pé, un berger montagnard. Mais les filles le trouvent changé : il semble ne pas avoir fait son deuil de la mort de leur mère, et elles se demandent s'il a encore toute sa tête. Sur place, Elfie découvre que sa grand-mère était une sorcière du tricot, et surtout qu'elle a tricoté dans des couvertures des indications que seule Elfie peut voir. Une carte qui pourrait la conduire à un fabuleux trésor. Elfie va déployer sa magie pour le retrouver... source: éditeur"
https://www.bdovore.com/Album?id_tome=39808,"Shirô détective catastrophe, Tome 9",,,Mangas - Shônen,"Serizawa, Naoki",Taifu Comics,"Notre jeune héros est toujours à la recherche de Moe, l’amie d’Ayumi, quand cette dernière se fait à son tour agresser. Shirô est alors critiqué par Kudô qui se révèle être finalement l’ancien partenaire du père de Reiko, Saijô. Touché dans son amour-propre, notre détective catastrophe perd tous ses moyens et il faudra toute la force de ses amis pour réussir à lui redonner courage."
https://www.bdovore.com/Album?id_tome=105896,"Silent love, Tome 3",,,Mangas - Yaoi,"Takanaga, Hinako",Asuka,"Yû est membre du conseil des élèves. Un jour, son président l'énigmatique Kagami jette le trouble dans l'esprit du jeune homme en l'embrassant subitement. Mais Satoru, derrière le masque de son impassibilité et aidé par son fidèle Keigo, va tout faire pour encourager la romance entre son ami d'enfance et Kagami, quitte à causer quelques situations délicates… source: éditeur"
https://www.bdovore.com/Album?id_tome=263067,Carnage,,,Comics Super-héros,"Conway, Gerry",Panini Comics,Gerry Conway et Mike Perkins nous présentent la dernière saga complète de Carnage. L’adversaire psychopathe de Spider-Man est opposé à la Carnage Task Force au cours d'une saga où tout peut arriver ! (Contient les épisodes US Carnage 11-16) source: éditeur
https://www.bdovore.com/Album?id_tome=302445,Siege at Yavin!,,,Comics,"Goodwin, Archie",Marvel,
https://www.bdovore.com/Album?id_tome=6118,Le sommet de Venise,,,Polar-Thriller,"Van Cauwelaert, Didier",Dargaud,
https://www.bdovore.com/Album?id_tome=233677,Us Against You (TPB),,,Comics,"Stephenson, Eric",Image Comics,"Collects They're not like us (2015) #7-12. Freed from the influence of The Voice, Syd and her companions discover that life on their own presents painful new challenges and even greater threats."
https://www.bdovore.com/Album?id_tome=37681,"Vortex, 3ème époque",,,Science-Fiction,Stan & Vince,Delcourt,
https://www.bdovore.com/Album?id_tome=294143,Akagami no Shirayuki Hime (赤髪の白雪姫) n°19,,,Mangas - Shôjo,"Akizuki, Sorata",Hakusensha,
https://www.bdovore.com/Album?id_tome=83562,Boule de Neige,,,Jeunesse,Marie-Mad,Editions du Triomphe,
https://www.bdovore.com/Album?id_tome=228924,Les naufragés du Pacifique,,,Aventure,"Home-Gall, Edward",Arédit,
https://www.bdovore.com/Album?id_tome=356854,To catch a toad,,,Comics Super-héros,"Williams, Leah",Marvel,
https://www.bdovore.com/Album?id_tome=138109,L'incroyable affaire de la valse sanglante,,,Aventures Humoristiques,"Rousseau, Dominique",Éditions du Square,"Une série de meurtres est commise pendant la nuit du 1er de l'an dans une auberge à 120 km au sud de Paris. L'enquête est réalisée de main de maître par l'inspecteur Lebeau de la brigade criminelle, dont le seul défaut est d'être assailli par des coliques aussi fréquentes qu'impromptues... Source : Schtroumpflala"
